nameOfIssuer,sprice,sshPrnamt
BRASKEM S A,13.5399685879,268686
BREITBURN ENERGY PARTNERS LP,0.669331768503,109064
BRF SA,13.8199380175,1022870
BRIDGE BANCORP INC,30.3823230121,6879
BRIDGEPOINT ED INC,7.60392689213,101658
BRIGGS & STRATTON CORP,17.3052130508,60502
BRIGHT HORIZONS FAM SOL IN D,66.7993451674,93459
BRIGHTCOVE INC,6.20022920279,34031
BRINKER INTL INC,47.9499470235,686153
BRINKS CO,28.8690004752,50504
BRISTOL MYERS SQUIBB CO,68.7901583185,4987603
BRISTOW GROUP INC,25.8925415341,33948
BRITISH AMERN TOB PLC,110.451212051,251722
BRIXMOR PPTY GROUP INC,25.819924287,10330588
BROADCOM CORP,57.8200200883,1749273
BROADRIDGE FINL SOLUTIONS IN,53.7301066279,1069326
BROADSOFT INC,35.3690054561,20894
BROCADE COMMUNICATIONS SYS I,9.18003405297,27390857
BROOKDALE SR LIVING INC,18.4599488875,1093665
BROOKFIELD ASSET MGMT INC,31.5303262308,1737819
BROOKFIELD INFRAST PARTNERS,37.9106992418,28488
BROOKFIELD PPTY PARTNERS L P,23.2409036146,425801
BROOKFIELD RENEWABLE ENRGY P,26.1831577996,88492
BROOKLINE BANCORP INC DEL,11.5002302391,2132566
BROWN & BROWN INC,32.0937778685,93071
BROWN FORMAN CORP,99.3517726545,2444667
BRT RLTY TR,6.34725086371,37339
BRUKER CORP,24.2702480262,653681
BRUNSWICK CORP,50.5077983315,143364
BRYN MAWR BK CORP,28.7446046469,10889
BT GROUP PLC,34.61011531,525540
BUCKEYE PARTNERS L P,65.9598978675,5138031
BUCKLE INC,30.7813733228,54481
BUFFALO WILD WINGS INC,159.648955191,73267
BUILD A BEAR WORKSHOP,12.2357511018,66935
BUILDERS FIRSTSOURCE INC,11.074168798,78200
BUNGE LIMITED,68.2796588372,828109
BURLINGTON STORES INC,42.8998700182,2729612
BWX TECHNOLOGIES INC,31.7683416172,225539
C B PHARMA ACQUISITION CORP,10.2312138728,17300
C D I CORP,6.76255261426,50129
C H ROBINSON WORLDWIDE INC,62.0196712152,1703911
C&J ENERGY SVCS LTD,4.76001586672,153781
C1 FINL INC,24.1723594325,11418
CA INC,28.5600002479,5485119
