,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
726,CORCEPT THERAPEUTICS INC,4.96166907294,49177,4.67087961691,50954,5.4678107347,60719,6.49876194979,124793,1777,9765
727,CORE LABORATORIES N V,108.76534296,34625,112.410050443,41829,123.885557313,81543,112.325804901,58268,7204,39714
728,CORE MARK HOLDING CO INC,81.9410677329,398152,81.5606638933,559608,46.8595193069,1072909,35.8002633255,982814,161456,513301
729,CORELOGIC INC,33.8577712538,406022,34.7014073165,424709,38.4814572296,335980,39.2196572221,478969,18687,-88729
730,CORENERGY INFRASTRUCTURE TR,14.8407112428,777456,20.1106673724,519575,28.8485514291,553442,29.3295320802,563323,-257881,33867
731,CORESITE RLTY CORP,56.7197118335,363401,70.0114585605,288867,88.6882962014,259121,74.040955021,447320,-74534,-29746
732,CORINDUS VASCULAR ROBOTICS I,3.21121881991,83146,0.988347069232,62731,1.44965735372,22764,1.10456553756,24444,-20415,-39967
733,CORIUM INTL INC,8.11987861722,1372188,3.85979747995,1341003,3.46999486556,1530838,5.62981493236,1606980,-31185,189835
734,CORNERSTONE ONDEMAND INC,34.5300398522,935707,32.7699982551,1427037,38.05982301,902763,45.9495138923,810520,491330,-524274
735,CORNING INC,18.279974859,10496021,20.8901009124,7242617,20.480004359,9543455,23.6500318595,13040067,-3253404,2300838
736,CORPORATE OFFICE PPTYS TR,21.8300815757,2934208,26.2398315863,3836267,29.5699640681,3454316,28.3502203686,2620156,902059,-381951
737,CORRECTIONS CORP AMER NEW,26.4881430816,192841,32.0486815416,211990,35.0222257712,300552,13.8698894819,2154307,19149,88562
738,CORVEL CORP,43.961352657,16560,39.4191527729,31609,43.174569704,37939,38.4113734185,30668,15049,6330
739,COSAN LTD,3.69024487919,337105,4.92152318505,265365,6.51007988756,614739,7.1493500854,863575,-71740,349374
740,COSI INC,0.445873325042,42613,0.842197198915,32059,0.496621665774,76517,0.0699848832652,71444,-10554,44458
741,COSTAR GROUP INC,206.692782684,150610,188.168058857,168679,218.661961604,137724,216.528528315,112327,18069,-30955
742,COSTCO WHSL CORP NEW,161.499791291,4142123,157.579840986,4552048,157.03975795,3860360,152.509689229,3575104,409925,-691688
