nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
ERICSSON,CMN,294821608,2451,339989,SH,DFND,1,337665,0,2324,
ERICSSON,CMN,294821608,301,41800,SH,DFND,1,41800,0,0,Put
ERICSSON,CMN,294821608,28,3900,SH,DFND,1,3900,0,0,Call
ERICSSON,CMN,294821608,3817,529413,SH,DFND,2,529413,0,0,
ERICSSON,CMN,294821608,609,84397,SH,DFND,6,84397,0,0,
ERIE INDTY CO,CMN,29530P102,1523,14925,SH,DFND,1,14925,0,0,
ERIE INDTY CO,CMN,29530P102,1156,11322,SH,DFND,2,10550,0,772,
ERIN ENERGY CORP,CMN,295625107,271,115260,SH,DFND,1,115260,0,0,
EROS INTL PLC,CMN,G3788M114,462,30153,SH,DFND,1,30153,0,0,
ESCO TECHNOLOGIES INC,CMN,296315104,1087,23416,SH,DFND,1,23416,0,0,
ESPERION THERAPEUTICS INC NE,CMN,29664W105,689,49722,SH,DFND,1,49722,0,0,
ESPERION THERAPEUTICS INC NE,CMN,29664W105,139,10000,SH,DFND,1,10000,0,0,Put
ESPERION THERAPEUTICS INC NE,CMN,29664W105,170,12300,SH,DFND,1,12300,0,0,Call
ESSENDANT INC,CMN,296689102,1087,52953,SH,DFND,1,52953,0,0,
ESSENDANT INC,CMN,296689102,699,34070,SH,DFND,2,34070,0,0,
ESSENT GROUP LTD,CMN,G3198U102,4895,183960,SH,DFND,1,183960,0,0,
ESSENT GROUP LTD,CMN,G3198U102,69621,2616346,SH,DFND,,2616346,0,0,
ESSEX PPTY TR INC,CMN,297178105,34166,153416,SH,DFND,1,153411,0,5,
ESSEX PPTY TR INC,CMN,297178105,20834,93553,SH,DFND,2,88777,0,4776,
ESSEX PPTY TR INC,CMN,297178105,320,1439,SH,DFND,6,1439,0,0,
ESTERLINE TECHNOLOGIES CORP,CMN,297425100,19055,250594,SH,DFND,1,250594,0,0,
ESTERLINE TECHNOLOGIES CORP,CMN,297425100,45235,594884,SH,DFND,2,564566,0,30318,
ESTERLINE TECHNOLOGIES CORP,CMN,297425100,614,8073,SH,DFND,6,8073,0,0,
ETF MANAGERS TR,CMN,26924G201,2846,102018,SH,DFND,1,102018,0,0,
ETF SER SOLUTIONS,CMN,26922A503,1204,44954,SH,DFND,1,44954,0,0,
ETFIS SER TR I,CMN,26923G301,2265,100000,SH,DFND,1,100000,0,0,
ETFS TR,CMN,26923J404,257,10712,SH,DFND,1,10712,0,0,
ETHAN ALLEN INTERIORS INC,CMN,297602104,745,23821,SH,DFND,1,23821,0,0,
ETHAN ALLEN INTERIORS INC,CMN,297602104,3272,104634,SH,DFND,2,104634,0,0,
ETSY INC,CMN,29786A106,7680,537818,SH,DFND,1,537818,0,0,
ETSY INC,CMN,29786A106,204,14300,SH,DFND,1,14300,0,0,Call
ETSY INC,CMN,29786A106,43,3000,SH,DFND,1,3000,0,0,Put
ETSY INC,CMN,29786A106,200,13981,SH,DFND,2,13981,0,0,
