nameOfIssuer,sshPrnamt,value
ASSURANT INC,749494,49129
ASSURED GUARANTY LTD,6378442,156272
ASTEC INDS INC,6416,282
ASTORIA FINL CORP,104528,1406
ASTRAZENECA PLC,330953,24593
ASTRONICS CORP,27401,1547
AT&T INC,21101426,746146
ATHENAHEALTH INC,26635,3333
ATHERSYS INC,109287,196
ATHLON ENERGY INC,218910,10442
ATLANTIC PWR CORP,61904,254
ATLANTIC TELE NETWORK INC,13460,781
ATLAS AIR WORLDWIDE HLDGS IN,31852,1174
ATLAS ENERGY LP,1186934,53269
ATLAS PIPELINE PARTNERS LP,3306007,113727
ATLAS RESOURCE PARTNERS LP,323818,6567
ATMEL CORP,12687144,118878
ATMOS ENERGY CORP,219013,11695
ATOSSA GENETICS INC,27773,47
ATRION CORP,5690,1855
ATWOOD OCEANICS INC,175666,9219
AU OPTRONICS CORP,60787,255
AUDIENCE INC,11152,133
AURICO GOLD INC,463031,1972
AUTODESK INC,905757,51066
AUTOHOME INC,6712,231
AUTOLIV INC,81891,8728
AUTOMATIC DATA PROCESSING IN,2065572,163759
AUTONATION INC,248579,14835
AUTONAVI HLDGS LTD,87978,1839
AUTOZONE INC,194430,104261
AUXILIUM PHARMACEUTICALS INC,237734,4769
AV HOMES INC,11518,188
AVAGO TECHNOLOGIES LTD,770929,55561
AVALONBAY CMNTYS INC,4609626,655443
AVANIR PHARMACEUTICALS INC,744155,4197
AVEO PHARMACEUTICALS INC,195051,357
AVERY DENNISON CORP,1314733,67380
AVG TECHNOLOGIES N V,237925,4790
AVIAT NETWORKS INC,144318,185
AVIS BUDGET GROUP,168549,10061
AVISTA CORP,133344,4469
AVIV REIT INC MD,936805,26390
AVIVA PLC,295752,5205
AVNET INC,600874,26625
AVON PRODS INC,1393619,20361
AVX CORP NEW,76999,1023
AXCELIS TECHNOLOGIES INC,110918,222
AXIALL CORP,684192,32341
AXIS CAPITAL HOLDINGS LTD,386177,17100
AXOGEN INC,103732,288
AZZ INC,23012,1060
B & G FOODS INC NEW,638316,20866
B COMMUNICATIONS LTD,17384,339
B2GOLD CORP,1218410,3558
BABCOCK & WILCOX CO NEW,316162,10263
BACTERIN INTL HLDGS INC,12355,8
BADGER METER INC,131005,6897
BAIDU INC,481493,89948
BAKER HUGHES INC,2040523,151917
BALCHEM CORP,45372,2430
BALDWIN & LYONS INC,8001,208
BALL CORP,703562,44099
BALLARD PWR SYS INC NEW,5965,25
