nameOfIssuer,sshPrnamt,value
GAMING & LEISURE PPTYS INC,1807181,91823
GANNETT INC,1020154,30176
GAP INC DEL,4584129,179148
GARMIN LTD,1700195,78532
GARTNER INC,228185,16212
GASLOG LTD,14240,243
GASTAR EXPL INC,48472,335
GATX CORP,88764,4630
GAZIT GLOBE LTD,193072,2590
GENCO SHIPPING & TRADING LTD,4034,10
GENCORP INC,142428,2567
GENERAC HLDGS INC,69451,3934
GENERAL AMERN INVS INC,236654,8330
GENERAL CABLE CORP DEL NEW,151422,4453
GENERAL COMMUNICATION INC,128873,1437
GENERAL DYNAMICS CORP,1968038,188046
GENERAL ELECTRIC CO,71335445,1999533
GENERAL FIN CORP DEL,16621,100
GENERAL GROWTH PPTYS INC NEW,3836442,76998
GENERAL MLS INC,1918849,95769
GENERAL MOLY INC,87226,117
GENERAL MTRS CO,12417312,427642
GENESCO INC,83117,6072
GENESEE & WYO INC,119982,12035
GENESIS ENERGY L P,4615551,242639
GENIE ENERGY LTD,274515,2803
GENOMIC HEALTH INC,173517,5079
GENPACT LIMITED,67515,1241
GENTEX CORP,393307,12971
GENTHERM INC,723133,19388
GENTIVA HEALTH SERVICES INC,98109,1217
GENUINE PARTS CO,598556,49794
GENWORTH FINL INC,12547788,194867
GEO GROUP INC,574833,18521
GEOSPACE TECHNOLOGIES CORP,239499,22665
GERDAU S A,2099605,16461
GERON CORP,817305,3874
GETTY RLTY CORP NEW,159586,2931
GEVO INC,145379,208
GFI GROUP INC,115826,453
GIANT INTERACTIVE GROUP INC,206004,2315
GIBRALTAR INDS INC,97592,1814
GIGAMON INC,8315,233
GIGOPTIX INC,56552,87
GILDAN ACTIVEWEAR INC,108166,5766
GILEAD SCIENCES INC,13099390,983764
GIVEN IMAGING,141332,4251
GLACIER BANCORP INC NEW,2200202,65544
GLADSTONE CAPITAL CORP,105237,1007
GLADSTONE COML CORP,17182,309
GLADSTONE INVT CORP,48839,394
GLATFELTER,152917,4227
GLAXOSMITHKLINE PLC,1918462,102427
GLIMCHER RLTY TR,295039,2762
GLOBAL BRASS & COPPR HLDGS I,22793,377
GLOBAL CASH ACCESS HLDGS INC,90474,904
GLOBAL EAGLE ENTMT INC,55105,819
GLOBAL GEOPHYSICAL SVCS INC,157587,254
GLOBAL HIGH INCOME FUND INC,17917,178
GLOBAL INDEMNITY PLC,38113,964
GLOBAL PMTS INC,1366719,88823
GLOBAL TELECOM & TECHNOLGY I,46704,341
GLOBAL X FDS,234338,5067
GLOBE SPECIALTY METALS INC,2185974,39370
GLOBUS MED INC,913292,18430
GLU MOBILE INC,92942,361
GNC HLDGS INC,854246,49931
GOGO INC,117826,2925
GOL LINHAS AEREAS INTLG S A,258687,1182
GOLAR LNG LTD BERMUDA,341717,12401
GOLAR LNG PARTNERS LP,2598871,78616
GOLD FIELDS LTD NEW,796350,2548
GOLD RESOURCE CORP,86278,390
GOLDCORP INC NEW,2616665,56703
GOLDEN MINERALS CO,193577,91
GOLDEN STAR RES LTD CDA,1015597,447
GOLDMAN SACHS GROUP INC,380543,17828
GOLUB CAP BDC INC,708774,13545
GOODRICH PETE CORP,650048,11064
GOODYEAR TIRE & RUBR CO,849631,28050
GOOGLE INC,2172019,2434203
GORDMANS STORES INC,13278,102
GORMAN RUPP CO,27510,920
GOVERNMENT PPTYS INCOME TR,2025028,50322
GP STRATEGIES CORP,38577,1149
GPO AEROPORTUARIO DEL PAC SA,90023,4791
GRACE W R & CO DEL NEW,847497,83792
GRACO INC,2527292,197432
GRAFTECH INTL LTD,200425,2251
GRAHAM CORP,5839,212
GRAHAM HLDGS CO,32551,21592
GRAINGER W W INC,576808,147329
GRAN TIERRA ENERGY INC,347804,2543
GRAND CANYON ED INC,44752,1951
GRANITE CONSTR INC,59495,2081
GRANITE REAL ESTATE INVT TR,59465,2170
GRAPHIC PACKAGING HLDG CO,5140335,49347
GRAY TELEVISION INC,136527,2032
GREAT LAKES DREDGE & DOCK CO,24547,226
GREAT PANTHER SILVER LTD,198406,145
GREAT PLAINS ENERGY INC,298626,7239
GREAT SOUTHN BANCORP INC,25933,789
GREATBATCH INC,99677,4410
GREEN DOT CORP,146525,3686
GREEN MTN COFFEE ROASTERS IN,5201334,392909
GREEN PLAINS RENEWABLE ENERG,288970,5600
GREENBRIER COS INC,168217,5524
GREENHILL & CO INC,88966,5154
GREENLIGHT CAPITAL RE LTD,56536,1906
GREIF INC,46039,2413
GRIFFON CORP,5809380,76742
GRIFOLS S A,1803019,65125
GROUP 1 AUTOMOTIVE INC,139519,9908
GROUPE CGI INC,96456,3228
GROUPON INC,350471,4124
GRUPO AEROPORTUARIO DEL SURE,65755,8195
GRUPO FINANCIERO GALICIA S A,36846,385
GRUPO FINANCIERO SANTANDER M,2918583,39810
GRUPO TELEVISA SA,1472834,44568
GS FIN CORP,215844,3898
GSE HLDG INC,13399,28
GSI GROUP INC CDA NEW,12224,137
GSI TECHNOLOGY,13306,88
GSV CAP CORP,361402,4369
GT ADVANCED TECHNOLOGIES INC,339899,2962
GTX INC DEL,84919,140
GUESS INC,734228,22813
GUGGENHEIM BLD AMR BDS MANG,60742,1204
GUIDANCE SOFTWARE INC,19222,194
GUIDEWIRE SOFTWARE INC,1453583,71327
GULF ISLAND FABRICATION INC,48919,1136
GULFMARK OFFSHORE INC,836751,39436
GULFPORT ENERGY CORP,187356,11828
H & E EQUIPMENT SERVICES INC,18264,541
H & Q HEALTHCARE INVESTORS,246711,6654
HACKETT GROUP INC,24287,151
HAEMONETICS CORP,105397,4440
HAIN CELESTIAL GROUP INC,2846744,258427
HALCON RES CORP,799249,3085
HALLADOR ENERGY COMPANY,11375,92
HALLIBURTON CO,9036578,458606
HALOZYME THERAPEUTICS INC,151208,2267
HAMPTON ROADS BANKSHARES INC,163180,286
HANCOCK HLDG CO,347462,12745
HANCOCK JOHN FINL OPPTYS FD,57937,1364
HANCOCK JOHN PREMUIM DIV FD,61841,717
HANDY & HARMAN LTD,12510,303
HANESBRANDS INC,388856,27325
HANGER INC,69253,2724
HANMI FINL CORP,113307,2480
HANOVER INS GROUP INC,66025,3942
HANSEN MEDICAL INC,181044,313
HARBINGER GROUP INC,91978,1090
HARDINGE INC,13996,203
HARLEY DAVIDSON INC,670798,46446
HARMAN INTL INDS INC,213074,17440
HARMONIC INC,661448,4882
HARMONY GOLD MNG LTD,751017,1900
HARRIS & HARRIS GROUP INC,56892,170
HARRIS CORP DEL,773521,53999
HARRIS TEETER SUPERMARKETS I,192962,9522
HARSCO CORP,268114,7516
HARTE-HANKS INC,224175,1753
HARTFORD FINL SVCS GROUP INC,7838972,276088
HARVEST NATURAL RESOURCES IN,53354,241
HASBRO INC,642986,35371
HATTERAS FINL CORP,290238,4742
HAVERTY FURNITURE INC,103318,3234
HAWAIIAN ELEC INDUSTRIES,172542,4496
HAWKINS INC,27746,1032
HAYNES INTERNATIONAL INC,25821,1426
HCA HOLDINGS INC,985743,47030
HCC INS HLDGS INC,153038,7061
HCI GROUP INC,26234,1404
HCP INC,4518469,164110
HD SUPPLY HLDGS INC,37264,895
HDFC BANK LTD,96841,3336
HEADWATERS INC,209831,2054
HEALTH CARE REIT INC,2904605,155392
HEALTH MGMT ASSOC INC NEW,963908,12627
HEALTH NET INC,162847,4832
HEALTHCARE RLTY TR,1816062,38700
HEALTHCARE SVCS GRP INC,3140858,89107
HEALTHCARE TR AMER INC,5426148,53393
HEALTHSOUTH CORP,1126991,37552
HEALTHSTREAM INC,79417,2591
HEALTHWAYS INC,123202,1891
HEARTLAND EXPRESS INC,97223,1908
HEARTLAND FINL USA INC,10406,300
HEARTLAND PMT SYS INC,90884,4530
HECLA MNG CO,323315,995
HEICO CORP NEW,79216,4488
HEIDRICK & STRUGGLES INTL IN,154310,3108
HELEN OF TROY CORP LTD,132034,6519
HELIX ENERGY SOLUTIONS GRP I,245475,5690
HELMERICH & PAYNE INC,978473,82270
HEMISPHERE MEDIA GROUP INC,14207,169
HEMISPHERX BIOPHARMA INC,21295,6
HENRY JACK & ASSOC INC,157592,9331
HERBALIFE LTD,709622,55847
HERCULES OFFSHORE INC,68368,446
HERCULES TECH GROWTH CAP INC,111937,1836
HERITAGE COMMERCE CORP,20013,165
HERITAGE CRYSTAL CLEAN INC,13887,285
HERITAGE FINL CORP WASH,605812,10360
HERSHA HOSPITALITY TR,315998,1760
HERSHEY CO,509975,49585
HERTZ GLOBAL HOLDINGS INC,459940,13164
HESS CORP,1491637,123807
HEWLETT PACKARD CO,8991087,251571
HEXCEL CORP NEW,70623,3156
HFF INC,739961,19868
HHGREGG INC,215262,3008
HI-TECH PHARMACAL INC,60839,2640
HIBBETT SPORTS INC,94646,6356
HIGHER ONE HLDGS INC,93273,910
HIGHWOODS PPTYS INC,5054100,182807
HILL ROM HLDGS INC,844827,34925
HILLENBRAND INC,148614,4372
HILLSHIRE BRANDS CO,925685,30955
HILLTOP HOLDINGS INC,108099,2500
HILTON WORLDWIDE HLDGS INC,92323,2054
HIMAX TECHNOLOGIES INC,15801,232
HITTITE MICROWAVE CORP,440895,27216
HMS HLDGS CORP,3131373,71083
HNI CORP,83031,3224
HOLLY ENERGY PARTNERS L P,2292875,74128
HOLLYFRONTIER CORP,1369774,68064
HOLLYSYS AUTOMATION TECHNOLO,1279167,24215
HOLOGIC INC,556183,12431
HOME BANCSHARES INC,1313809,49071
HOME DEPOT INC,5423554,446575
HOME INNS & HOTELS MGMT INC,11030,481
HOME LN SERVICING SOLUTIONS,1215789,27927
HOME PROPERTIES INC,1283005,68795
HOMEAWAY INC,27596,1128
HOMESTREET INC,13182,264
HONDA MOTOR LTD,261912,10830
HONEYWELL INTL INC,5827392,532449
HOOKER FURNITURE CORP,40244,671
HORACE MANN EDUCATORS CORP N,105207,3318
HORIZON PHARMA INC,46914,357
HORMEL FOODS CORP,456786,20633
HORNBECK OFFSHORE SVCS INC N,71796,3534
HORSEHEAD HLDG CORP,110394,1789
HOSPIRA INC,522451,21567
HOSPITALITY PPTYS TR,2704048,73090
HOST HOTELS & RESORTS INC,4594706,89320
HOUGHTON MIFFLIN HARCOURT CO,1733831,29406
HOUSTON WIRE & CABLE CO,26922,360
HOVNANIAN ENTERPRISES INC,112971,748
HOWARD HUGHES CORP,69049,8293
HSBC HLDGS PLC,1034960,57057
HSN INC,718087,44737
HUANENG PWR INTL INC,5642,205
HUB GROUP INC,69305,2764
HUBBELL INC,1408444,153380
HUDBAY MINERALS INC,33900,278
HUDSON CITY BANCORP,1385215,13063
HUDSON GLOBAL INC,21131,85
HUDSON PAC PPTYS INC,2350368,51402
HUDSON VALLEY HOLDING CORP,10065,205
HUGOTON RTY TR TEX,26221,197
HUMANA INC,2923606,301775
HUNT J B TRANS SVCS INC,211350,16338
HUNTINGTON BANCSHARES INC,20912607,201807
HUNTINGTON INGALLS INDS INC,150932,13586
HUNTSMAN CORP,1196740,29440
HURON CONSULTING GROUP INC,79978,5012
HUTCHINSON TECHNOLOGY INC,47214,151
HYATT HOTELS CORP,103599,5124
HYSTER YALE MATLS HANDLING I,60886,5673
IAC INTERACTIVECORP,616467,42321
IAMGOLD CORP,513721,1711
IBERIABANK CORP,65527,4118
ICAHN ENTERPRISES LP,2305,252
ICF INTL INC,52845,1834
ICG GROUP INC,24331,453
ICICI BK LTD,404887,15050
ICON PLC,31819,1286
ICONIX BRAND GROUP INC,1585823,62957
ICU MED INC,113178,7210
IDACORP INC,1887014,97823
IDENIX PHARMACEUTICALS INC,51622,308
IDEX CORP,1150258,84947
IDEXX LABS INC,124611,13255
IDT CORP,56770,1014
IGATE CORP,106346,4271
IHS INC,108756,13018
II VI INC,215472,3788
IKANOS COMMUNICATIONS,168859,203
ILLINOIS TOOL WKS INC,2176464,182998
ILLUMINA INC,626952,69334
IMATION CORP,176898,828
IMAX CORP,19436,573
IMMERSION CORP,38104,396
IMMUNOCELLULAR THERAPEUTICS,18176,17
IMMUNOGEN INC,79797,1171
IMMUNOMEDICS INC,78516,362
IMPAX LABORATORIES INC,171452,4310
IMPERIAL OIL LTD,252411,11164
IMPERVA INC,16630,801
INCONTACT INC,93950,734
INCYTE CORP,909755,46060
INDEPENDENT BANK CORP MASS,728365,28494
INDEPENDENT BANK CORP MICH,71569,859
INDEPENDENT BK GROUP INC,674202,33481
INDEXIQ ETF TR,35806,1037
INFINERA CORPORATION,170755,1670
INFINITY PHARMACEUTICALS INC,3120196,43089
INFINITY PPTY & CAS CORP,67696,4857
INFOBLOX INC,80967,2674
INFORMATICA CORP,183455,7613
INFOSYS LTD,620500,35120
ING ASIA PAC HGH DIVID EQ IN,12305,157
ING GROEP N V,612514,8581
ING U S INC,5040895,177187
INGERSOLL-RAND PLC,2236236,137752
INGLES MKTS INC,45238,1226
INGRAM MICRO INC,288389,6766
INGREDION INC,2057769,140875
INLAND REAL ESTATE CORP,3362195,35370
INNERWORKINGS INC,44786,349
INNODATA INC,61159,150
INNOPHOS HOLDINGS INC,62783,3051
INNOSPEC INC,35269,1630
INNOVATIVE SOLUTIONS & SUPPO,10079,73
INOVIO PHARMACEUTICALS INC,1039406,3014
INPHI CORP,12636,163
INSIGHT ENTERPRISES INC,139775,3174
INSMED INC,15088,256
INSPERITY INC,122134,4413
INSPIREMD INC,78941,194
INSTEEL INDUSTRIES INC,61205,1391
INSULET CORP,169278,6281
INSYS THERAPEUTICS INC NEW,26446,1024
INTEGRA LIFESCIENCES HLDGS C,61781,2948
INTEGRATED DEVICE TECHNOLOGY,209537,2133
INTEGRATED SILICON SOLUTION,21978,266
INTEGRYS ENERGY GROUP INC,228016,12407
INTEL CORP,23482713,609493
INTELIQUENT INC,104412,1191
INTELSAT S A,298630,10098
INTER PARFUMS INC,48407,1733
INTERACTIVE BROKERS GROUP IN,219273,5337
INTERACTIVE INTELLIGENCE GRO,31844,2145
INTERCONTINENTAL HTLS GRP PL,81904,2738
INTERCONTINENTALEXCHANGE GRO,2258774,508044
INTERDIGITAL INC,197693,5830
INTERFACE INC,159465,3502
INTERMOLECULAR INC,550976,2710
INTERMUNE INC,66425,979
INTERNAP NETWORK SVCS CORP,284159,2137
INTERNATIONAL BANCSHARES COR,199268,5253
INTERNATIONAL BUSINESS MACHS,3392060,636249
INTERNATIONAL FLAVORS&FRAGRA,1650983,141951
INTERNATIONAL GAME TECHNOLOG,2917956,52991
INTERNATIONAL RECTIFIER CORP,281765,7345
INTERNATIONAL SHIPHOLDING CO,9460,279
INTERNATIONAL SPEEDWAY CORP,35092,1244
INTERNATIONAL TOWER HILL MIN,287475,118
INTERNET GOLD-GOLDEN LINES L,11257,96
INTEROIL CORP,661435,34057
INTERPUBLIC GROUP COS INC,2678236,47405
INTERSECTIONS INC,15781,123
INTERSIL CORP,4557470,52279
INTERVAL LEISURE GROUP INC,108325,3349
INTERVEST BANCSHARES CORP,20438,153
INTERXION HOLDING N.V,1641404,38753
INTEVAC INC,116012,862
INTL FCSTONE INC,13529,250
INTL PAPER CO,4098566,200952
INTRALINKS HLDGS INC,22228,269
INTREPID POTASH INC,105490,1671
INTUIT,1429209,109077
INTUITIVE SURGICAL INC,177226,68069
INVACARE CORP,57643,1338
INVENSENSE INC,558770,11611
INVENTURE FOODS INC,29289,388
INVESCO DYNAMIC CR OPP FD,10392,134
INVESCO LTD,9255322,336894
INVESCO MORTGAGE CAPITAL INC,329464,4837
INVESCO MUN OPPORTUNITY TR,240994,2822
INVESCO MUNI INCOME OPP TRST,129385,802
INVESCO QUALITY MUNI INC TRS,103511,1151
INVESCO TR INVT GRADE MUNS,11593,141
INVESCO VALUE MUN INCOME TR,242439,3273
INVESTMENT TECHNOLOGY GRP NE,303539,6241
INVESTORS BANCORP INC,165944,4245
INVESTORS REAL ESTATE TR,96084,825
ION GEOPHYSICAL CORP,247550,817
IPC THE HOSPITALIST CO INC,35513,2109
IPG PHOTONICS CORP,357326,27732
IRELAND BK,135,2
IRIDIUM COMMUNICATIONS INC,27691,173
IROBOT CORP,141030,4903
IRON MTN INC,1060402,32184
IRONWOOD PHARMACEUTICALS INC,137418,1596
IRSA INVERSIONES Y REP S A,14000,170
ISHARES GOLD TRUST,2968732,34675
ISHARES INC,42989292,1425235
ISHARES S&P GSCI COMMODITY I,215359,6932
ISHARES SILVER TRUST,1202543,22499
ISHARES TR,153997830,12402353
ISIS PHARMACEUTICALS INC,588389,23442
ISLE OF CAPRI CASINOS INC,20759,186
ISTAR FINL INC,1603265,22878
ITAU UNIBANCO HLDG SA,5474323,74287
ITC HLDGS CORP,109507,10493
ITRON INC,55352,2293
ITT CORP NEW,132556,5756
ITT EDUCATIONAL SERVICES INC,43611,1464
IXIA,149010,1983
IXYS CORP,57172,741
J & J SNACK FOODS CORP,51132,4530
J2 GLOBAL INC,154053,7704
JA SOLAR HOLDINGS CO LTD,11411,105
JABIL CIRCUIT INC,962087,16779
JACK IN THE BOX INC,418178,20917
JACOBS ENGR GROUP INC DEL,597002,37605
JAKKS PAC INC,105464,709
JAMBA INC,3931,49
JAMES RIVER COAL CO,123713,167
JANUS CAP GROUP INC,570052,7052
JARDEN CORP,157671,9673
JAZZ PHARMACEUTICALS PLC,232304,29400
JDS UNIPHASE CORP,1110734,14423
JETBLUE AIRWAYS CORP,1000752,8546
JINKOSOLAR HLDG CO LTD,9281,272
JIVE SOFTWARE INC,100325,1129
JOHN BEAN TECHNOLOGIES CORP,137392,4030
JOHNSON & JOHNSON,10449835,957101
JOHNSON CTLS INC,8068116,413895
JONES GROUP INC,64048,959
JONES LANG LASALLE INC,187391,19187
JOS A BANK CLOTHIERS INC,910171,49849
JOURNAL COMMUNICATIONS INC,104967,977
JOY GLOBAL INC,383006,22402
JPMORGAN CHASE & CO,30588950,1765247
JUNIPER NETWORKS INC,11199347,252768
JUST ENERGY GROUP INC,44032,315
K12 INC,100529,2186
KADANT INC,52577,2130
KAISER ALUMINUM CORP,911274,64008
KAMADA LTD,20000,297
KAMAN CORP,1348298,53568
KANSAS CITY LIFE INS CO,5252,251
KANSAS CITY SOUTHERN,364532,45140
KAPSTONE PAPER & PACKAGING C,1357707,75841
KAYNE ANDERSON MLP INVT CO,8126,324
KB FINANCIAL GROUP INC,69050,2797
KB HOME,1392832,25461
KBR INC,4413708,140753
KCAP FINL INC,33367,269
KCG HLDGS INC,10210,122
KEARNY FINL CORP,34103,397
KELLOGG CO,1324901,80912
KELLY SVCS INC,281002,7008
KEMET CORP,53825,304
KEMPER CORP DEL,79332,3243
KENNAMETAL INC,2653462,138166
KENNEDY-WILSON HLDGS INC,2296713,51102
KERYX BIOPHARMACEUTICALS INC,565608,7325
KEY ENERGY SVCS INC,286878,2267
KEY TRONICS CORP,21745,240
KEYCORP NEW,4168859,55946
KEYW HLDG CORP,38631,519
KFORCE INC,133315,2728
KILROY RLTY CORP,281723,14137
KIMBALL INTL INC,175243,2634
KIMBERLY CLARK CORP,1915057,200047
KIMCO RLTY CORP,5958840,117687
KINDER MORGAN ENERGY PARTNER,1284849,103636
KINDER MORGAN INC DEL,6837241,231650
KINDER MORGAN MANAGEMENT LLC,1453050,109938
KINDRED HEALTHCARE INC,266651,5263
KINROSS GOLD CORP,1583034,6934
KIOR INC,18527,31
KIRBY CORP,180744,17939
KIRKLANDS INC,34812,824
KITE RLTY GROUP TR,378091,2484
KKR & CO L P DEL,1760339,42846
KKR FINL HLDGS LLC,96604,1178
KLA-TENCOR CORP,562897,36284
KNIGHT TRANSN INC,289798,5315
KNOLL INC,85382,1563
KNOT OFFSHORE PARTNERS LP,1082062,30406
KODIAK OIL & GAS CORP,1016989,11401
KOHLS CORP,746890,42386
KONGZHONG CORP,20500,148
KONINKLIJKE PHILIPS N V,167545,6194
KOPIN CORP,173379,732
KOPPERS HOLDINGS INC,240551,11005
KOREA ELECTRIC PWR,38343,637
KORN FERRY INTL,292541,7642
KOSMOS ENERGY LTD,49390,552
KRAFT FOODS GROUP INC,3345702,180368
KRATON PERFORMANCE POLYMERS,76604,1766
KRATOS DEFENSE & SEC SOLUTIO,25535,196
KRISPY KREME DOUGHNUTS INC,85933,1658
KROGER CO,2085484,82438
KRONOS WORLDWIDE INC,32552,620
KT CORP,29358,437
KULICKE & SOFFA INDS INC,242929,3231
KVH INDS INC,14096,184
KYOCERA CORP,49702,2492
L & L ENERGY INC,16056,27
L BRANDS INC,10302841,637231
L-3 COMMUNICATIONS HLDGS INC,640212,68412
LA Z BOY INC,142442,4416
LABORATORY CORP AMER HLDGS,1234619,112807
LACLEDE GROUP INC,66667,3036
LADENBURG THALMAN FIN SVCS I,82451,258
LAKE SHORE GOLD CORP,33815,16
LAKELAND BANCORP INC,43881,543
LAKELAND FINL CORP,425097,16579
LAM RESEARCH CORP,4161365,226586
LAMAR ADVERTISING CO,4073929,212863
LANCASTER COLONY CORP,97612,8604
LANDAUER INC,27135,1428
LANDEC CORP,65062,789
LANDSTAR SYS INC,126685,7278
LANNET INC,38232,1265
LAREDO PETE HLDGS INC,3089263,85541
LAS VEGAS SANDS CORP,1182475,93262
LASALLE HOTEL PPTYS,2440963,75327
LATAM AIRLS GROUP S A,929270,15156
LATTICE SEMICONDUCTOR CORP,131173,720
LAUDER ESTEE COS INC,2444587,184126
LAWSON PRODS INC,12733,156
LAYNE CHRISTENSEN CO,48000,820
LAZARD LTD,2900284,131441
LDK SOLAR CO LTD,508055,666
LEAP WIRELESS INTL INC,61807,1075
LEAPFROG ENTERPRISES INC,154277,1225
LEAR CORP,289716,23459
LEE ENTERPRISES INC,121362,422
LEGACY RESERVES LP,804134,22645
LEGG MASON INC,1409148,61269
LEGGETT & PLATT INC,1499708,46400
LEHIGH GAS PARTNERS LP,1015000,29029
LEIDOS HLDGS INC,465156,21625
LENDER PROCESSING SVCS INC,171194,6400
LENNAR CORP,2013151,79640
LENNOX INTL INC,134696,11457
LEUCADIA NATL CORP,1185760,33604
LEVEL 3 COMMUNICATIONS INC,159743,5299
LEXICON PHARMACEUTICALS INC,219422,395
LEXINGTON REALTY TRUST,797005,8137
LEXMARK INTL NEW,621367,22071
LG DISPLAY CO LTD,64739,786
LGI HOMES INC,63486,1129
LHC GROUP INC,58156,1399
LIBBEY INC,40404,848
LIBERTY GLOBAL PLC,5388808,464777
LIBERTY INTERACTIVE CORP,236308,28969
LIBERTY INTERACTIVE CORPORAT,8520222,250068
LIBERTY MEDIA CORP DELAWARE,1541629,225528
LIBERTY PPTY TR,3701807,125381
LIFE TECHNOLOGIES CORP,1759324,133357
LIFE TIME FITNESS INC,86055,4044
LIFELOCK INC,1960278,32168
LIFEPOINT HOSPITALS INC,69928,3695
LIFEVANTAGE CORP,55121,91
LIGAND PHARMACEUTICALS INC,154920,8149
LILLY ELI & CO,6895097,351649
LIMELIGHT NETWORKS INC,30724441,60835
LIMONEIRA CO,18853,501
LIN MEDIA LLC,576619,16555
LINCOLN EDL SVCS CORP,16098,80
LINCOLN ELEC HLDGS INC,186800,13326
LINCOLN NATL CORP IND,8742272,443220
LINDSAY CORP,34296,2838
LINEAR TECHNOLOGY CORP,3142330,143134
LINKEDIN CORP,640920,138972
LINN ENERGY LLC,319654,9842
LINNCO LLC,779354,24012
LIONBRIDGE TECHNOLOGIES INC,40687,242
LIONS GATE ENTMNT CORP,88324,2796
LIQUIDITY SERVICES INC,83138,1884
LITHIA MTRS INC,152039,10555
LITTELFUSE INC,410864,38182
LIVE NATION ENTERTAINMENT IN,439799,8690
LIVEPERSON INC,142356,2110
LKQ CORP,569022,18721
LLOYDS BANKING GROUP PLC,1593288,8476
LMI AEROSPACE INC,30050,443
LOCKHEED MARTIN CORP,1399063,207985
LOEWS CORP,949352,45796
LOGITECH INTL S A,2951127,40401
LOGMEIN INC,46791,1570
LORAL SPACE & COMMUNICATNS I,27543,2230
LORILLARD INC,1737915,88077
LOUISIANA PAC CORP,5945122,110044
LOWES COS INC,5801904,287484
LPL FINL HLDGS INC,278744,13114
LSB INDS INC,46217,1896
LSI CORPORATION,2251866,24849
LSI INDS INC,146238,1268
LTC PPTYS INC,119846,4241
LTX-CREDENCE CORP,63057,504
LULULEMON ATHLETICA INC,322904,19061
LUMBER LIQUIDATORS HLDGS INC,114897,11822
LUMINEX CORP DEL,208117,4037
LUMOS NETWORKS CORP,255760,5371
LUXOTTICA GROUP S P A,19930,1075
LYDALL INC DEL,95195,1677
LYON WILLIAM HOMES,1397449,30940
LYONDELLBASELL INDUSTRIES N,3373026,270786
M & T BK CORP,3090142,359754
M D C HLDGS INC,180698,5826
M/I HOMES INC,1385633,35265
MA COM TECHNOLOGY SOLUTIONS,12922,220
MAC-GRAY CORP,32236,684
MACERICH CO,1485288,87469
MACK CALI RLTY CORP,3101177,66614
MACQUARIE INFRASTR CO LLC,660079,35928
MACYS INC,3551064,189627
MADDEN STEVEN LTD,739850,27071
MADISON SQUARE GARDEN CO,28571,1645
MAG SILVER CORP,18994,98
MAGELLAN HEALTH SVCS INC,144472,8655
MAGELLAN MIDSTREAM PRTNRS LP,9354033,591830
MAGICJACK VOCALTEC LTD,68700,819
MAGNA INTL INC,579951,47591
MAGNACHIP SEMICONDUCTOR CORP,48477,945
MAGNETEK INC,10958,263
MAGNUM HUNTER RES CORP DEL,536492,3922
MAIDEN HOLDINGS LTD,2945004,32189
MAIN STREET CAPITAL CORP,50583,1654
MAINSOURCE FINANCIAL GP INC,25030,451
MALLINCKRODT PUB LTD CO,1241607,64886
MAM SOFTWARE GROUP INC,10361,52
MANAGED DURATION INVT GRD FU,21099,262
MANAGED HIGH YIELD PLUS FD I,44729,91
MANHATTAN ASSOCS INC,93633,11000
MANITOWOC INC,149120,3478
MANNING & NAPIER INC,332518,5869
MANNKIND CORP,150236,782
MANPOWERGROUP INC,656705,56384
MANTECH INTL CORP,127183,3807
MANULIFE FINL CORP,1648064,32517
MARATHON OIL CORP,2394176,84514
MARATHON PETE CORP,1624171,148985
MARCHEX INC,153651,1329
MARCUS CORP,75240,1011
MARIN SOFTWARE INC,42052,431
MARINE PRODS CORP,25438,256
MARINEMAX INC,66070,1062
MARKEL CORP,19409,11264
MARKET VECTORS ETF TR,12601401,467111
MARKETAXESS HLDGS INC,492511,32962
MARKETO INC,12997,482
MARKWEST ENERGY PARTNERS L P,8222416,543748
MARLIN BUSINESS SVCS CORP,62668,1580
MARRIOTT INTL INC NEW,3736436,184397
MARRIOTT VACATIONS WRLDWDE C,866156,45699
MARSH & MCLENNAN COS INC,1992032,96334
MARTEN TRANS LTD,79954,1614
MARTHA STEWART LIVING OMNIME,18556,78
MARTIN MARIETTA MATLS INC,141253,14116
MARTIN MIDSTREAM PRTNRS L P,8564,367
MARVELL TECHNOLOGY GROUP LTD,1275386,18340
MASCO CORP,2716701,61860
MASIMO CORP,215363,6295
MASONITE INTL CORP NEW,1015783,60947
MASTEC INC,110923,3629
MASTERCARD INC,748555,625388
MATADOR RES CO,80856,1507
MATERION CORP,110634,3413
MATRIX SVC CO,112413,2746
MATSON INC,103897,2713
MATTEL INC,1278182,60815
MATTERSIGHT CORP,20015,96
MATTHEWS INTL CORP,34833,1484
MATTRESS FIRM HLDG CORP,12204,525
MATTSON TECHNOLOGY INC,19503,53
MAVENIR SYS INC,523862,5846
MAXIM INTEGRATED PRODS INC,8260865,230479
MAXIMUS INC,181363,7978
MAXWELL TECHNOLOGIES INC,13493,105
MAZOR ROBOTICS LTD,35649,696
MB FINANCIAL INC NEW,1919319,61534
MBIA INC,1318087,15738
MBT FINL CORP,34866,149
MCCLATCHY CO,27221,93
MCCORMICK & CO INC,300550,20714
MCDERMOTT INTL INC,204522,1873
MCDONALDS CORP,4128520,400589
MCEWEN MNG INC,71029,139
MCG CAPITAL CORP,93380,411
MCGRATH RENTCORP,57549,2290
MCGRAW HILL FINL INC,979055,76562
MCKESSON CORP,1599927,258229
MDC PARTNERS INC,54082,1380
