nameOfIssuer,value,sshPrnamt,Sole,Shared,None
AMPIO PHARMACEUTICALS INC,283,39760,39760,0,0
AMSURG CORP,3981,86685,86685,0,0
AMTRUST FINL SVCS INC,8333,254893,254893,0,0
ANACOR PHARMACEUTICALS INC,186,11063,11063,0,0
ANADARKO PETE CORP,393246,4957702,3844006,21782,1091914
ANADIGICS INC,81,44234,44234,0,0
ANALOG DEVICES INC,70686,1387903,1382783,0,5120
ANALOGIC CORP,2880,32519,32519,0,0
ANAREN INC,2209,78903,78903,0,0
ANDERSONS INC,7139,80062,80062,0,0
ANGIES LIST INC,224,14806,14806,0,0
ANGIODYNAMICS INC,2426,141382,141382,0,0
ANGLOGOLD ASHANTI LTD,1929,164569,164569,0,0
ANHEUSER BUSCH INBEV SA/NV,136538,1282523,1250068,28570,3885
ANIKA THERAPEUTICS INC,923,24187,24187,0,0
ANIXTER INTL INC,71713,798221,754709,0,43512
ANN INC,4915,134430,134430,0,0
ANNALY CAP MGMT INC,23721,2379221,2373421,0,5800
ANNIES INC,1641,38124,38124,0,0
ANSYS INC,20945,240198,240174,0,24
ANTARES PHARMA INC,586,130978,130978,0,0
ANTERO RES CORP,76718,1209290,1142697,5195,61398
ANWORTH MORTGAGE ASSET CP,462,109749,109749,0,0
AOL INC,16101,345377,339142,0,6235
AON PLC,125729,1498729,1494387,0,4342
APACHE CORP,208615,2427454,2375085,34931,17438
APARTMENT INVT & MGMT CO,26315,1015648,1002959,395,12294
APCO OIL & GAS INTERNATIONAL,383,24589,24589,0,0
API TECHNOLOGIES CORP,50,14661,14661,0,0
APOGEE ENTERPRISES INC,3587,99880,84151,0,15729
APOLLO COML REAL EST FIN INC,51655,3178746,3001989,0,176757
APOLLO ED GROUP INC,62902,2302407,1997489,13828,291090
APOLLO GLOBAL MGMT LLC,24344,770136,755136,0,15000
APOLLO INVT CORP,4538,535470,535470,0,0
APOLLO RESIDENTIAL MTG INC,345,23335,23335,0,0
APPLE INC,3918651,6984868,6408656,23080,553132
APPLIED INDL TECHNOLOGIES IN,51875,1056735,998050,0,58685
APPLIED MATLS INC,308022,17422062,17254382,85868,81812
APPROACH RESOURCES INC,25031,1296908,1229929,0,66979
APTARGROUP INC,6521,96175,77383,0,18792
AQUA AMERICA INC,9548,404783,404783,0,0
ARABIAN AMERN DEV CO,383,30537,30537,0,0
ARAMARK HLDGS CORP,1045311,39866922,39866922,0,0
ARATANA THERAPEUTICS INC,675,35343,35343,0,0
ARBOR RLTY TR INC,481,72236,72236,0,0
ARC DOCUMENT SOLUTIONS INC,285,34717,34717,0,0
ARCELORMITTAL SA LUXEMBOURG,183488,9308611,9308611,0,0
ARCH CAP GROUP LTD,7427,124423,124423,0,0
ARCH COAL INC,14722,3308527,3308527,0,0
ARCHER DANIELS MIDLAND CO,135462,3121250,2732870,42884,345496
ARCOS DORADOS HOLDINGS INC,13835,1141507,1141507,0,0
ARCTIC CAT INC,39833,699080,659218,0,39862
ARDEN GROUP INC,811,6414,2414,0,4000
ARENA PHARMACEUTICALS INC,2928,500504,500504,0,0
ARES CAP CORP,15213,856119,856119,0,0
ARGAN INC,230,8340,8340,0,0
ARGO GROUP INTL HLDGS LTD,4631,99615,99615,0,0
ARIAD PHARMACEUTICALS INC,6270,919346,919346,0,0
ARKANSAS BEST CORP DEL,4233,125679,125679,0,0
ARLINGTON ASSET INVT CORP,357,13525,13525,0,0
ARM HLDGS PLC,15690,286687,274542,0,12145
ARMOUR RESIDENTIAL REIT INC,4751,1184959,1184959,0,0
ARMSTRONG WORLD INDS INC NEW,123492,2143590,2128761,0,14829
ARQULE INC,567,263805,263805,0,0
ARRAY BIOPHARMA INC,157,31305,31305,0,0
ARRIS GROUP INC NEW,13900,571071,571071,0,0
ARROW ELECTRS INC,14596,269045,269045,0,0
ARROW FINL CORP,711,26780,26780,0,0
ARROWHEAD RESH CORP,153,14087,14087,0,0
ARTHROCARE CORP,2037,50633,50633,0,0
ARTISAN PARTNERS ASSET MGMT,640,9821,9821,0,0
ARUBA NETWORKS INC,3110,173717,171020,0,2697
ASBURY AUTOMOTIVE GROUP INC,40119,746541,702871,0,43670
ASCENA RETAIL GROUP INC,6542,309178,309178,0,0
ASCENT CAP GROUP INC,466,5451,5400,0,51
ASHFORD HOSPITALITY PRIME IN,1330,73099,73099,0,0
ASHFORD HOSPITALITY TR INC,1529,184633,184459,174,0
ASHLAND INC NEW,116628,1201858,1193100,0,8758
ASIAINFO-LINKAGE INC,142,11900,11900,0,0
ASML HOLDING N V,31162,332567,328209,0,4358
ASPEN INSURANCE HOLDINGS LTD,13696,331534,331534,0,0
ASPEN TECHNOLOGY INC,13403,320625,320625,0,0
ASSOCIATED BANC CORP,14144,1201920,1201920,0,0
ASSOCIATED ESTATES RLTY CORP,3156,196601,196420,181,0
ASSURANT INC,45130,679983,679983,0,0
ASSURED GUARANTY LTD,13915,589870,589870,0,0
ASTEC INDS INC,2547,65922,65922,0,0
ASTORIA FINL CORP,1942,140479,140479,0,0
ASTRAZENECA PLC,11743,197796,189623,0,8173
ASTRONICS CORP,1023,20061,20061,0,0
AT&T INC,709074,20167079,19366723,82145,718211
ATHENAHEALTH INC,1043,7758,7758,0,0
ATHLON ENERGY INC,2332,77080,77080,0,0
ATLANTIC PWR CORP,576,165417,165417,0,0
ATLANTIC TELE NETWORK INC,2657,46979,46979,0,0
ATLANTICUS HLDGS CORP,60,16980,16980,0,0
ATLAS AIR WORLDWIDE HLDGS IN,2084,50653,50653,0,0
ATLAS ENERGY LP,97432,2079650,2079650,0,0
ATLAS PIPELINE PARTNERS LP,103287,2946848,2946848,0,0
ATLAS RESOURCE PARTNERS LP,25315,1236087,1236087,0,0
ATMEL CORP,5957,760785,760785,0,0
ATMI INC,2253,74587,74587,0,0
ATMOS ENERGY CORP,8332,183450,183450,0,0
ATOSSA GENETICS INC,82,35346,35346,0,0
ATRICURE INC,483,25869,25869,0,0
ATRION CORP,1035,3495,3495,0,0
ATWOOD OCEANICS INC,6907,129365,125323,0,4042
AU OPTRONICS CORP,139,44568,44568,0,0
AUDIENCE INC,386,33170,33170,0,0
AURICO GOLD INC,1749,477609,477609,0,0
AUTODESK INC,41954,833771,695964,0,137807
AUTOHOME INC,383,10476,10076,0,400
AUTOLIV INC,18957,206499,206499,0,0
AUTOMATIC DATA PROCESSING IN,163575,2024467,1808072,0,216395
AUTONATION INC,22661,456045,427689,0,28356
AUTONAVI HLDGS LTD,277,19414,19414,0,0
AUTOZONE INC,114563,239703,196125,3522,40056
AUXILIUM PHARMACEUTICALS INC,5087,245398,237998,0,7400
AVAGO TECHNOLOGIES LTD,21394,404571,398451,0,6120
AVALONBAY CMNTYS INC,615841,5208833,4496162,20796,691875
AVANIR PHARMACEUTICALS INC,3646,1085141,1085141,0,0
AVEO PHARMACEUTICALS INC,447,244448,244448,0,0
AVERY DENNISON CORP,49097,978232,978232,0,0
AVG TECHNOLOGIES N V,2948,171292,163292,0,8000
AVIAT NETWORKS INC,216,95788,95788,0,0
AVID TECHNOLOGY INC,711,87233,87233,0,0
AVIS BUDGET GROUP,2830,69997,67747,0,2250
AVISTA CORP,4888,173397,173397,0,0
AVIV REIT INC MD,22576,952565,952565,0,0
AVIVA PLC,3382,223241,223241,0,0
AVNET INC,17550,397882,397882,0,0
AVON PRODS INC,24118,1400536,1400536,0,0
AVX CORP NEW,2961,212594,212594,0,0
AXCELIS TECHNOLOGIES INC,172,70655,70655,0,0
AXIALL CORP,40528,854309,802849,0,51460
AXIS CAPITAL HOLDINGS LTD,17842,375077,373621,0,1456
AXOGEN INC,464,103295,103295,0,0
AZZ INC,2830,57929,57929,0,0
B & G FOODS INC NEW,4284,126343,126343,0,0
B2GOLD CORP,2507,1241029,1241029,0,0
BABCOCK & WILCOX CO NEW,14025,410201,385201,0,25000
BADGER METER INC,2141,39293,39293,0,0
BAIDU INC,71529,402124,351359,0,50765
BAKER HUGHES INC,108475,1962983,1774022,33583,155378
BALCHEM CORP,5084,86606,86606,0,0
BALL CORP,26949,521647,521647,0,0
BALLARD PWR SYS INC NEW,455,300459,300459,0,0
BALLY TECHNOLOGIES INC,16729,213250,206281,0,6969
BALTIC TRADING LIMITED,456,70860,70860,0,0
BANCFIRST CORP,1953,34853,34853,0,0
BANCO BILBAO VIZCAYA ARGENTA,13170,1062968,892793,0,170175
BANCO BRADESCO S A,34987,2790364,2790364,0,0
BANCO DE CHILE,913,10404,10404,0,0
BANCO MACRO SA,611,25156,25156,0,0
BANCO SANTANDER BRASIL S A,710,116366,116366,0,0
BANCO SANTANDER CHILE NEW,958,40652,40652,0,0
BANCO SANTANDER SA,21211,2338662,2299849,0,38813
BANCOLOMBIA S A,873,17812,17812,0,0
BANCORP INC DEL,206,11496,11496,0,0
BANCORPSOUTH INC,72844,2865643,2708365,0,157278
BANK HAWAII CORP,4824,81568,81568,0,0
BANK MONTREAL QUE,64532,968073,953369,0,14704
BANK MUTUAL CORP NEW,1083,154536,154536,0,0
BANK N S HALIFAX,66189,1058195,1058195,0,0
BANK NEW YORK MELLON CORP,145147,4154203,4055205,0,98998
BANK OF AMERICA CORPORATION,1282805,81809932,71114855,673892,10021185
BANK OF THE OZARKS INC,84617,1495267,1410980,0,84287
BANKFINANCIAL CORP,248,27088,27088,0,0
BANKRATE INC DEL,5822,324537,324537,0,0
BANKUNITED INC,4651,141298,141298,0,0
BANNER CORP,40809,910507,859128,0,51379
BANRO CORP,14,25893,25893,0,0
BARCLAYS BANK PLC,4767,150965,108365,0,42600
BARCLAYS BK PLC,44670,1417961,1395125,0,22836
BARCLAYS PLC,8614,475172,475172,0,0
BARD C R INC,628972,4695925,4413672,29193,253060
BARNES & NOBLE INC,11633,778112,778112,0,0
BARNES GROUP INC,67242,1755197,1654862,0,100335
BARRACUDA NETWORKS INC,613,15451,15451,0,0
BARRETT BILL CORP,8008,299026,295526,0,3500
BARRETT BUSINESS SERVICES IN,2070,22323,22323,0,0
BARRICK GOLD CORP,111023,6297425,6264313,0,33112
BASIC ENERGY SVCS INC NEW,3748,237551,134157,0,103394
BAXTER INTL INC,126521,1819130,1684245,0,134885
BAYTEX ENERGY CORP,3776,96429,96429,0,0
BAZAARVOICE INC,119,15035,15035,0,0
BB&T CORP,82676,2215326,2169906,0,45420
BBCN BANCORP INC,2914,175645,175645,0,0
BBVA BANCO FRANCES S A,134,19259,19259,0,0
BCE INC,27750,641047,641047,0,0
BE AEROSPACE INC,20841,239474,226343,0,13131
BEACON ROOFING SUPPLY INC,3790,94087,94087,0,0
BEAM INC,245784,3611281,3155017,12004,444260
BEAZER HOMES USA INC,3564,145948,145948,0,0
BEBE STORES INC,365,68693,68693,0,0
BECTON DICKINSON & CO,162825,1473659,1299009,0,174650
BED BATH & BEYOND INC,119789,1491770,1491678,0,92
BEL FUSE INC,603,28305,28305,0,0
BELDEN INC,43721,620594,589176,0,31418
BELLATRIX EXPLORATION LTD,2066,281884,281884,0,0
BEMIS INC,9998,244093,211015,0,33078
BENCHMARK ELECTRS INC,10789,467483,467483,0,0
BENEFICIAL MUTUAL BANCORP IN,415,37999,37999,0,0
BENEFITFOCUS INC,657548,11388078,11388078,0,0
BERKLEY W R CORP,54169,1248429,1236511,0,11918
BERKSHIRE HATHAWAY INC DEL,732097,5602086,5193243,7141,401702
BERKSHIRE HILLS BANCORP INC,510,18714,18714,0,0
BERRY PLASTICS GROUP INC,4511,189614,189614,0,0
BEST BUY INC,220062,5518096,5446205,2159,69732
BGC PARTNERS INC,3424,565861,565861,0,0
BHP BILLITON LTD,183139,2685327,2677624,0,7703
BHP BILLITON PLC,9366,150766,150766,0,0
BIG 5 SPORTING GOODS CORP,2542,128271,128271,0,0
BIG LOTS INC,5488,169954,169954,0,0
