nameOfIssuer,value,sshPrnamt,Sole,Shared,None
GS FIN CORP,3898,215844,215844,0,0
GSE HLDG INC,28,13399,13399,0,0
GSI GROUP INC CDA NEW,137,12224,12224,0,0
GSI TECHNOLOGY,88,13306,13306,0,0
GSV CAP CORP,4369,361402,361402,0,0
GT ADVANCED TECHNOLOGIES INC,2962,339899,338899,0,1000
GTX INC DEL,140,84919,84919,0,0
GUESS INC,22813,734228,586424,9584,138220
GUGGENHEIM BLD AMR BDS MANG,1204,60742,60742,0,0
GUIDANCE SOFTWARE INC,194,19222,19222,0,0
GUIDEWIRE SOFTWARE INC,71327,1453583,1419791,6268,27524
GULF ISLAND FABRICATION INC,1136,48919,48919,0,0
GULFMARK OFFSHORE INC,39436,836751,787220,0,49531
GULFPORT ENERGY CORP,11828,187356,187356,0,0
H & E EQUIPMENT SERVICES INC,541,18264,18264,0,0
H & Q HEALTHCARE INVESTORS,6654,246711,246711,0,0
HACKETT GROUP INC,151,24287,24287,0,0
HAEMONETICS CORP,4440,105397,105397,0,0
HAIN CELESTIAL GROUP INC,258427,2846744,2691678,11267,143799
HALCON RES CORP,3085,799249,799249,0,0
HALLADOR ENERGY COMPANY,92,11375,11375,0,0
HALLIBURTON CO,458606,9036578,8204349,97400,734829
HALOZYME THERAPEUTICS INC,2267,151208,151208,0,0
HAMPTON ROADS BANKSHARES INC,286,163180,163180,0,0
HANCOCK HLDG CO,12745,347462,347462,0,0
HANCOCK JOHN FINL OPPTYS FD,1364,57937,57937,0,0
HANCOCK JOHN PREMUIM DIV FD,717,61841,61841,0,0
HANDY & HARMAN LTD,303,12510,12510,0,0
HANESBRANDS INC,27325,388856,312836,0,76020
HANGER INC,2724,69253,69253,0,0
HANMI FINL CORP,2480,113307,113307,0,0
HANOVER INS GROUP INC,3942,66025,66025,0,0
HANSEN MEDICAL INC,313,181044,181044,0,0
HARBINGER GROUP INC,1090,91978,91978,0,0
HARDINGE INC,203,13996,13996,0,0
HARLEY DAVIDSON INC,46446,670798,670220,0,578
HARMAN INTL INDS INC,17440,213074,213074,0,0
HARMONIC INC,4882,661448,661448,0,0
HARMONY GOLD MNG LTD,1900,751017,751017,0,0
HARRIS & HARRIS GROUP INC,170,56892,56892,0,0
HARRIS CORP DEL,53999,773521,754561,3361,15599
HARRIS TEETER SUPERMARKETS I,9522,192962,192962,0,0
HARSCO CORP,7516,268114,268114,0,0
HARTE-HANKS INC,1753,224175,224175,0,0
HARTFORD FINL SVCS GROUP INC,276088,7838972,7730918,83504,24550
HARVEST NATURAL RESOURCES IN,241,53354,53354,0,0
HASBRO INC,35371,642986,619053,0,23933
HATTERAS FINL CORP,4742,290238,290238,0,0
HAVERTY FURNITURE INC,3234,103318,103318,0,0
HAWAIIAN ELEC INDUSTRIES,4496,172542,172542,0,0
HAWKINS INC,1032,27746,27746,0,0
HAYNES INTERNATIONAL INC,1426,25821,25821,0,0
HCA HOLDINGS INC,47030,985743,856083,0,129660
HCC INS HLDGS INC,7061,153038,153038,0,0
HCI GROUP INC,1404,26234,26234,0,0
HCP INC,164110,4518469,4493605,1219,23645
HD SUPPLY HLDGS INC,895,37264,37264,0,0
HDFC BANK LTD,3336,96841,91841,0,5000
HEADWATERS INC,2054,209831,209831,0,0
HEALTH CARE REIT INC,155392,2904605,2895043,779,8783
HEALTH MGMT ASSOC INC NEW,12627,963908,963908,0,0
HEALTH NET INC,4832,162847,161407,0,1440
HEALTHCARE RLTY TR,38700,1816062,1815799,263,0
HEALTHCARE SVCS GRP INC,89107,3140858,3083214,10678,46966
HEALTHCARE TR AMER INC,53393,5426148,5259036,0,167112
HEALTHSOUTH CORP,37552,1126991,1064821,0,62170
HEALTHSTREAM INC,2591,79417,79417,0,0
HEALTHWAYS INC,1891,123202,123202,0,0
HEARTLAND EXPRESS INC,1908,97223,97223,0,0
HEARTLAND FINL USA INC,300,10406,10406,0,0
HEARTLAND PMT SYS INC,4530,90884,90884,0,0
HECLA MNG CO,995,323315,323315,0,0
HEICO CORP NEW,4488,79216,79216,0,0
HEIDRICK & STRUGGLES INTL IN,3108,154310,154310,0,0
HELEN OF TROY CORP LTD,6519,132034,132034,0,0
HELIX ENERGY SOLUTIONS GRP I,5690,245475,245475,0,0
HELMERICH & PAYNE INC,82270,978473,978087,0,386
HEMISPHERE MEDIA GROUP INC,169,14207,14207,0,0
HEMISPHERX BIOPHARMA INC,6,21295,21295,0,0
HENRY JACK & ASSOC INC,9331,157592,157592,0,0
HERBALIFE LTD,55847,709622,704782,0,4840
HERCULES OFFSHORE INC,446,68368,68368,0,0
HERCULES TECH GROWTH CAP INC,1836,111937,111937,0,0
HERITAGE COMMERCE CORP,165,20013,20013,0,0
HERITAGE CRYSTAL CLEAN INC,285,13887,13887,0,0
HERITAGE FINL CORP WASH,10360,605812,572672,0,33140
HERSHA HOSPITALITY TR,1760,315998,315631,367,0
HERSHEY CO,49585,509975,448483,0,61492
HERTZ GLOBAL HOLDINGS INC,13164,459940,459940,0,0
HESS CORP,123807,1491637,1308335,22116,161186
HEWLETT PACKARD CO,251571,8991087,8377095,81457,532535
HEXCEL CORP NEW,3156,70623,70623,0,0
HFF INC,19868,739961,739961,0,0
HHGREGG INC,3008,215262,215262,0,0
HI-TECH PHARMACAL INC,2640,60839,60839,0,0
HIBBETT SPORTS INC,6356,94646,94646,0,0
HIGHER ONE HLDGS INC,910,93273,93273,0,0
HIGHWOODS PPTYS INC,182807,5054100,4923867,265,129968
HILL ROM HLDGS INC,34925,844827,806099,0,38728
HILLENBRAND INC,4372,148614,148614,0,0
HILLSHIRE BRANDS CO,30955,925685,725660,0,200025
HILLTOP HOLDINGS INC,2500,108099,108099,0,0
HILTON WORLDWIDE HLDGS INC,2054,92323,92323,0,0
HIMAX TECHNOLOGIES INC,232,15801,15801,0,0
HITTITE MICROWAVE CORP,27216,440895,440895,0,0
HMS HLDGS CORP,71083,3131373,3027356,19276,84741
HNI CORP,3224,83031,83031,0,0
HOLLY ENERGY PARTNERS L P,74128,2292875,2099595,0,193280
HOLLYFRONTIER CORP,68064,1369774,1262121,0,107653
HOLLYSYS AUTOMATION TECHNOLO,24215,1279167,1279167,0,0
HOLOGIC INC,12431,556183,556183,0,0
HOME BANCSHARES INC,49071,1313809,1236623,0,77186
HOME DEPOT INC,446575,5423554,5102528,40200,280826
HOME INNS & HOTELS MGMT INC,481,11030,11030,0,0
HOME LN SERVICING SOLUTIONS,27927,1215789,1140579,0,75210
HOME PROPERTIES INC,68795,1283005,1282874,131,0
HOMEAWAY INC,1128,27596,27596,0,0
HOMESTREET INC,264,13182,13182,0,0
HONDA MOTOR LTD,10830,261912,261912,0,0
HONEYWELL INTL INC,532449,5827392,3635711,1725,2189956
HOOKER FURNITURE CORP,671,40244,40244,0,0
HORACE MANN EDUCATORS CORP N,3318,105207,105207,0,0
HORIZON PHARMA INC,357,46914,46914,0,0
HORMEL FOODS CORP,20633,456786,453760,0,3026
HORNBECK OFFSHORE SVCS INC N,3534,71796,71796,0,0
HORSEHEAD HLDG CORP,1789,110394,110394,0,0
HOSPIRA INC,21567,522451,513944,0,8507
HOSPITALITY PPTYS TR,73090,2704048,2703667,381,0
HOST HOTELS & RESORTS INC,89320,4594706,4568228,1972,24506
HOUGHTON MIFFLIN HARCOURT CO,29406,1733831,1547014,0,186817
HOUSTON WIRE & CABLE CO,360,26922,26922,0,0
HOVNANIAN ENTERPRISES INC,748,112971,112971,0,0
HOWARD HUGHES CORP,8293,69049,69049,0,0
HSBC HLDGS PLC,57057,1034960,1001863,0,33097
HSN INC,44737,718087,678093,0,39994
HUANENG PWR INTL INC,205,5642,5642,0,0
HUB GROUP INC,2764,69305,69305,0,0
HUBBELL INC,153380,1408444,1332381,8432,67631
HUDBAY MINERALS INC,278,33900,33900,0,0
HUDSON CITY BANCORP,13063,1385215,1385215,0,0
HUDSON GLOBAL INC,85,21131,21131,0,0
HUDSON PAC PPTYS INC,51402,2350368,2203403,0,146965
HUDSON VALLEY HOLDING CORP,205,10065,10065,0,0
HUGOTON RTY TR TEX,197,26221,26221,0,0
HUMANA INC,301775,2923606,2908384,0,15222
HUNT J B TRANS SVCS INC,16338,211350,211350,0,0
HUNTINGTON BANCSHARES INC,201807,20912607,20759060,0,153547
HUNTINGTON INGALLS INDS INC,13586,150932,150834,0,98
HUNTSMAN CORP,29440,1196740,949008,0,247732
HURON CONSULTING GROUP INC,5012,79978,79978,0,0
HUTCHINSON TECHNOLOGY INC,151,47214,47214,0,0
HYATT HOTELS CORP,5124,103599,103467,0,132
HYSTER YALE MATLS HANDLING I,5673,60886,60886,0,0
IAC INTERACTIVECORP,42321,616467,616467,0,0
IAMGOLD CORP,1711,513721,513721,0,0
IBERIABANK CORP,4118,65527,65527,0,0
ICAHN ENTERPRISES LP,252,2305,2305,0,0
ICF INTL INC,1834,52845,52845,0,0
ICG GROUP INC,453,24331,24331,0,0
ICICI BK LTD,15050,404887,404887,0,0
ICON PLC,1286,31819,31819,0,0
ICONIX BRAND GROUP INC,62957,1585823,1585823,0,0
ICU MED INC,7210,113178,113178,0,0
IDACORP INC,97823,1887014,1793406,0,93608
IDENIX PHARMACEUTICALS INC,308,51622,51622,0,0
IDEX CORP,84947,1150258,1132218,0,18040
IDEXX LABS INC,13255,124611,124611,0,0
IDT CORP,1014,56770,56770,0,0
IGATE CORP,4271,106346,106346,0,0
IHS INC,13018,108756,108756,0,0
II VI INC,3788,215472,215472,0,0
IKANOS COMMUNICATIONS,203,168859,168859,0,0
ILLINOIS TOOL WKS INC,182998,2176464,1955305,23969,197190
ILLUMINA INC,69334,626952,624863,0,2089
IMATION CORP,828,176898,176898,0,0
IMAX CORP,573,19436,19436,0,0
IMMERSION CORP,396,38104,38104,0,0
IMMUNOCELLULAR THERAPEUTICS,17,18176,18176,0,0
IMMUNOGEN INC,1171,79797,79797,0,0
IMMUNOMEDICS INC,362,78516,78516,0,0
IMPAX LABORATORIES INC,4310,171452,171452,0,0
IMPERIAL OIL LTD,11164,252411,252411,0,0
IMPERVA INC,801,16630,16630,0,0
INCONTACT INC,734,93950,93950,0,0
INCYTE CORP,46060,909755,885540,4503,19712
INDEPENDENT BANK CORP MASS,28494,728365,688741,0,39624
INDEPENDENT BANK CORP MICH,859,71569,71569,0,0
INDEPENDENT BK GROUP INC,33481,674202,652956,0,21246
INDEXIQ ETF TR,1037,35806,6,0,35800
INFINERA CORPORATION,1670,170755,170755,0,0
INFINITY PHARMACEUTICALS INC,43089,3120196,2938358,0,181838
INFINITY PPTY & CAS CORP,4857,67696,67696,0,0
INFOBLOX INC,2674,80967,80767,0,200
INFORMATICA CORP,7613,183455,183455,0,0
INFOSYS LTD,35120,620500,599809,0,20691
ING ASIA PAC HGH DIVID EQ IN,157,12305,12305,0,0
ING GROEP N V,8581,612514,604074,0,8440
ING U S INC,177187,5040895,5007908,0,32987
INGERSOLL-RAND PLC,137752,2236236,2218304,0,17932
INGLES MKTS INC,1226,45238,45238,0,0
INGRAM MICRO INC,6766,288389,288389,0,0
INGREDION INC,140875,2057769,2044575,0,13194
INLAND REAL ESTATE CORP,35370,3362195,3362066,129,0
INNERWORKINGS INC,349,44786,44786,0,0
INNODATA INC,150,61159,61159,0,0
INNOPHOS HOLDINGS INC,3051,62783,62783,0,0
INNOSPEC INC,1630,35269,35269,0,0
INNOVATIVE SOLUTIONS & SUPPO,73,10079,10079,0,0
INOVIO PHARMACEUTICALS INC,3014,1039406,1039406,0,0
INPHI CORP,163,12636,12636,0,0
INSIGHT ENTERPRISES INC,3174,139775,139775,0,0
INSMED INC,256,15088,15088,0,0
INSPERITY INC,4413,122134,122134,0,0
INSPIREMD INC,194,78941,78941,0,0
INSTEEL INDUSTRIES INC,1391,61205,61205,0,0
INSULET CORP,6281,169278,169278,0,0
INSYS THERAPEUTICS INC NEW,1024,26446,26446,0,0
INTEGRA LIFESCIENCES HLDGS C,2948,61781,61781,0,0
INTEGRATED DEVICE TECHNOLOGY,2133,209537,209537,0,0
INTEGRATED SILICON SOLUTION,266,21978,21978,0,0
INTEGRYS ENERGY GROUP INC,12407,228016,226816,0,1200
INTEL CORP,609493,23482713,22047919,81536,1353258
INTELIQUENT INC,1191,104412,104412,0,0
INTELSAT S A,10098,298630,298630,0,0
INTER PARFUMS INC,1733,48407,48407,0,0
INTERACTIVE BROKERS GROUP IN,5337,219273,219273,0,0
INTERACTIVE INTELLIGENCE GRO,2145,31844,31844,0,0
INTERCONTINENTAL HTLS GRP PL,2738,81904,45175,0,36729
INTERCONTINENTALEXCHANGE GRO,508044,2258774,1858413,5276,395085
INTERDIGITAL INC,5830,197693,197693,0,0
INTERFACE INC,3502,159465,159465,0,0
INTERMOLECULAR INC,2710,550976,550976,0,0
INTERMUNE INC,979,66425,66425,0,0
INTERNAP NETWORK SVCS CORP,2137,284159,123029,0,161130
INTERNATIONAL BANCSHARES COR,5253,199268,199268,0,0
INTERNATIONAL BUSINESS MACHS,636249,3392060,3060848,2333,328879
INTERNATIONAL FLAVORS&FRAGRA,141951,1650983,1578539,9690,62754
INTERNATIONAL GAME TECHNOLOG,52991,2917956,2853410,0,64546
INTERNATIONAL RECTIFIER CORP,7345,281765,281765,0,0
INTERNATIONAL SHIPHOLDING CO,279,9460,9460,0,0
INTERNATIONAL SPEEDWAY CORP,1244,35092,35092,0,0
INTERNATIONAL TOWER HILL MIN,118,287475,287475,0,0
INTERNET GOLD-GOLDEN LINES L,96,11257,11257,0,0
INTEROIL CORP,34057,661435,661435,0,0
INTERPUBLIC GROUP COS INC,47405,2678236,2675782,0,2454
INTERSECTIONS INC,123,15781,15781,0,0
INTERSIL CORP,52279,4557470,4316600,0,240870
INTERVAL LEISURE GROUP INC,3349,108325,108325,0,0
INTERVEST BANCSHARES CORP,153,20438,20438,0,0
INTERXION HOLDING N.V,38753,1641404,1641404,0,0
INTEVAC INC,862,116012,116012,0,0
INTL FCSTONE INC,250,13529,13529,0,0
INTL PAPER CO,200952,4098566,4064783,0,33783
INTRALINKS HLDGS INC,269,22228,22228,0,0
INTREPID POTASH INC,1671,105490,105490,0,0
INTUIT,109077,1429209,1405067,0,24142
INTUITIVE SURGICAL INC,68069,177226,177222,0,4
INVACARE CORP,1338,57643,53446,0,4197
INVENSENSE INC,11611,558770,527783,0,30987
INVENTURE FOODS INC,388,29289,29289,0,0
INVESCO DYNAMIC CR OPP FD,134,10392,10392,0,0
INVESCO LTD,336894,9255322,9200157,0,55165
INVESCO MORTGAGE CAPITAL INC,4837,329464,329464,0,0
INVESCO MUN OPPORTUNITY TR,2822,240994,240994,0,0
INVESCO MUNI INCOME OPP TRST,802,129385,129385,0,0
INVESCO QUALITY MUNI INC TRS,1151,103511,103511,0,0
INVESCO TR INVT GRADE MUNS,141,11593,11593,0,0
INVESCO VALUE MUN INCOME TR,3273,242439,242439,0,0
INVESTMENT TECHNOLOGY GRP NE,6241,303539,303539,0,0
INVESTORS BANCORP INC,4245,165944,165944,0,0
INVESTORS REAL ESTATE TR,825,96084,96084,0,0
ION GEOPHYSICAL CORP,817,247550,247550,0,0
IPC THE HOSPITALIST CO INC,2109,35513,35513,0,0
IPG PHOTONICS CORP,27732,357326,357326,0,0
IRELAND BK,2,135,135,0,0
IRIDIUM COMMUNICATIONS INC,173,27691,1761,0,25930
IROBOT CORP,4903,141030,141030,0,0
IRON MTN INC,32184,1060402,1058062,0,2340
IRONWOOD PHARMACEUTICALS INC,1596,137418,137418,0,0
IRSA INVERSIONES Y REP S A,170,14000,14000,0,0
ISHARES GOLD TRUST,34675,2968732,2506147,0,462585
ISHARES INC,1425235,42989292,24728610,0,18260682
ISHARES S&P GSCI COMMODITY I,6932,215359,163013,0,52346
ISHARES SILVER TRUST,22499,1202543,923178,0,279365
ISHARES TR,12402353,153997830,83523955,0,70473875
ISIS PHARMACEUTICALS INC,23442,588389,588389,0,0
ISLE OF CAPRI CASINOS INC,186,20759,20759,0,0
ISTAR FINL INC,22878,1603265,1603265,0,0
ITAU UNIBANCO HLDG SA,74287,5474323,5414703,0,59620
ITC HLDGS CORP,10493,109507,97548,0,11959
ITRON INC,2293,55352,55352,0,0
ITT CORP NEW,5756,132556,132556,0,0
ITT EDUCATIONAL SERVICES INC,1464,43611,43611,0,0
IXIA,1983,149010,149010,0,0
IXYS CORP,741,57172,57172,0,0
J & J SNACK FOODS CORP,4530,51132,51132,0,0
J2 GLOBAL INC,7704,154053,154053,0,0
JA SOLAR HOLDINGS CO LTD,105,11411,11411,0,0
JABIL CIRCUIT INC,16779,962087,954087,0,8000
JACK IN THE BOX INC,20917,418178,418178,0,0
JACOBS ENGR GROUP INC DEL,37605,597002,581677,0,15325
JAKKS PAC INC,709,105464,105464,0,0
JAMBA INC,49,3931,3495,0,436
JAMES RIVER COAL CO,167,123713,123713,0,0
JANUS CAP GROUP INC,7052,570052,570052,0,0
JARDEN CORP,9673,157671,157671,0,0
JAZZ PHARMACEUTICALS PLC,29400,232304,232304,0,0
JDS UNIPHASE CORP,14423,1110734,1110105,0,629
JETBLUE AIRWAYS CORP,8546,1000752,1000752,0,0
JINKOSOLAR HLDG CO LTD,272,9281,9281,0,0
JIVE SOFTWARE INC,1129,100325,100325,0,0
JOHN BEAN TECHNOLOGIES CORP,4030,137392,137392,0,0
JOHNSON & JOHNSON,957101,10449835,9257052,63402,1129381
JOHNSON CTLS INC,413895,8068116,7869694,38904,159518
JONES GROUP INC,959,64048,64048,0,0
JONES LANG LASALLE INC,19187,187391,187391,0,0
JOS A BANK CLOTHIERS INC,49849,910171,864694,0,45477
JOURNAL COMMUNICATIONS INC,977,104967,104967,0,0
JOY GLOBAL INC,22402,383006,349629,0,33377
JPMORGAN CHASE & CO,1765247,30588950,25681406,158096,4749448
JUNIPER NETWORKS INC,252768,11199347,11087750,10520,101077
JUST ENERGY GROUP INC,315,44032,44032,0,0
K12 INC,2186,100529,100529,0,0
KADANT INC,2130,52577,52577,0,0
KAISER ALUMINUM CORP,64008,911274,863241,0,48033
KAMADA LTD,297,20000,20000,0,0
KAMAN CORP,53568,1348298,1272964,0,75334
KANSAS CITY LIFE INS CO,251,5252,5252,0,0
KANSAS CITY SOUTHERN,45140,364532,361087,0,3445
KAPSTONE PAPER & PACKAGING C,75841,1357707,1282081,0,75626
KAYNE ANDERSON MLP INVT CO,324,8126,7126,0,1000
KB FINANCIAL GROUP INC,2797,69050,69050,0,0
KB HOME,25461,1392832,1392423,0,409
KBR INC,140753,4413708,4327123,0,86585
KCAP FINL INC,269,33367,33367,0,0
KCG HLDGS INC,122,10210,10210,0,0
KEARNY FINL CORP,397,34103,34103,0,0
KELLOGG CO,80912,1324901,1182961,0,141940
KELLY SVCS INC,7008,281002,281002,0,0
KEMET CORP,304,53825,53825,0,0
KEMPER CORP DEL,3243,79332,79332,0,0
KENNAMETAL INC,138166,2653462,2564807,16440,72215
KENNEDY-WILSON HLDGS INC,51102,2296713,2167667,0,129046
KERYX BIOPHARMACEUTICALS INC,7325,565608,565608,0,0
KEY ENERGY SVCS INC,2267,286878,283478,0,3400
KEY TRONICS CORP,240,21745,21745,0,0
KEYCORP NEW,55946,4168859,4081050,67478,20331
KEYW HLDG CORP,519,38631,38631,0,0
KFORCE INC,2728,133315,133315,0,0
KILROY RLTY CORP,14137,281723,281486,237,0
KIMBALL INTL INC,2634,175243,175243,0,0
KIMBERLY CLARK CORP,200047,1915057,1524423,10633,380001
KIMCO RLTY CORP,117687,5958840,5941798,1084,15958
KINDER MORGAN ENERGY PARTNER,103636,1284849,1156389,0,128460
KINDER MORGAN INC DEL,231650,6837241,6019660,0,817581
KINDER MORGAN MANAGEMENT LLC,109938,1453050,1393403,0,59647
KINDRED HEALTHCARE INC,5263,266651,266651,0,0
KINROSS GOLD CORP,6934,1583034,1583034,0,0
KIOR INC,31,18527,18527,0,0
KIRBY CORP,17939,180744,180744,0,0
KIRKLANDS INC,824,34812,34812,0,0
KITE RLTY GROUP TR,2484,378091,378091,0,0
KKR & CO L P DEL,42846,1760339,1699174,0,61165
KKR FINL HLDGS LLC,1178,96604,96604,0,0
KLA-TENCOR CORP,36284,562897,562897,0,0
KNIGHT TRANSN INC,5315,289798,289798,0,0
KNOLL INC,1563,85382,85382,0,0
KNOT OFFSHORE PARTNERS LP,30406,1082062,1082062,0,0
KODIAK OIL & GAS CORP,11401,1016989,1016989,0,0
KOHLS CORP,42386,746890,746890,0,0
KONGZHONG CORP,148,20500,20500,0,0
KONINKLIJKE PHILIPS N V,6194,167545,158588,0,8957
KOPIN CORP,732,173379,173379,0,0
KOPPERS HOLDINGS INC,11005,240551,229462,0,11089
KOREA ELECTRIC PWR,637,38343,38343,0,0
KORN FERRY INTL,7642,292541,292541,0,0
KOSMOS ENERGY LTD,552,49390,49390,0,0
KRAFT FOODS GROUP INC,180368,3345702,3098164,36218,211320
KRATON PERFORMANCE POLYMERS,1766,76604,76604,0,0
KRATOS DEFENSE & SEC SOLUTIO,196,25535,25535,0,0
KRISPY KREME DOUGHNUTS INC,1658,85933,85933,0,0
KROGER CO,82438,2085484,2030245,8132,47107
KRONOS WORLDWIDE INC,620,32552,32552,0,0
KT CORP,437,29358,29358,0,0
KULICKE & SOFFA INDS INC,3231,242929,242929,0,0
KVH INDS INC,184,14096,14096,0,0
KYOCERA CORP,2492,49702,49702,0,0
L & L ENERGY INC,27,16056,16056,0,0
L BRANDS INC,637231,10302841,8918071,61429,1323341
L-3 COMMUNICATIONS HLDGS INC,68412,640212,618123,3878,18211
LA Z BOY INC,4416,142442,142442,0,0
LABORATORY CORP AMER HLDGS,112807,1234619,1228631,0,5988
LACLEDE GROUP INC,3036,66667,66667,0,0
LADENBURG THALMAN FIN SVCS I,258,82451,82451,0,0
LAKE SHORE GOLD CORP,16,33815,33815,0,0
LAKELAND BANCORP INC,543,43881,43881,0,0
LAKELAND FINL CORP,16579,425097,399574,0,25523
LAM RESEARCH CORP,226586,4161365,3933768,8415,219182
LAMAR ADVERTISING CO,212863,4073929,4066477,0,7452
LANCASTER COLONY CORP,8604,97612,97612,0,0
LANDAUER INC,1428,27135,27135,0,0
LANDEC CORP,789,65062,65062,0,0
LANDSTAR SYS INC,7278,126685,126685,0,0
LANNET INC,1265,38232,38232,0,0
LAREDO PETE HLDGS INC,85541,3089263,2957426,0,131837
LAS VEGAS SANDS CORP,93262,1182475,1121683,2501,58291
LASALLE HOTEL PPTYS,75327,2440963,2339806,268,100889
LATAM AIRLS GROUP S A,15156,929270,929270,0,0
LATTICE SEMICONDUCTOR CORP,720,131173,131173,0,0
LAUDER ESTEE COS INC,184126,2444587,2049095,28833,366659
LAWSON PRODS INC,156,12733,12733,0,0
LAYNE CHRISTENSEN CO,820,48000,48000,0,0
LAZARD LTD,131441,2900284,2763291,20248,116745
LDK SOLAR CO LTD,666,508055,508055,0,0
LEAP WIRELESS INTL INC,1075,61807,61807,0,0
LEAPFROG ENTERPRISES INC,1225,154277,154277,0,0
LEAR CORP,23459,289716,288021,0,1695
LEE ENTERPRISES INC,422,121362,113768,0,7594
LEGACY RESERVES LP,22645,804134,804134,0,0
LEGG MASON INC,61269,1409148,1409148,0,0
LEGGETT & PLATT INC,46400,1499708,1499708,0,0
LEHIGH GAS PARTNERS LP,29029,1015000,1015000,0,0
LEIDOS HLDGS INC,21625,465156,438981,0,26175
LENDER PROCESSING SVCS INC,6400,171194,171194,0,0
LENNAR CORP,79640,2013151,2013151,0,0
LENNOX INTL INC,11457,134696,134696,0,0
LEUCADIA NATL CORP,33604,1185760,1185760,0,0
LEVEL 3 COMMUNICATIONS INC,5299,159743,159743,0,0
LEXICON PHARMACEUTICALS INC,395,219422,219422,0,0
LEXINGTON REALTY TRUST,8137,797005,797005,0,0
LEXMARK INTL NEW,22071,621367,516037,0,105330
LG DISPLAY CO LTD,786,64739,64739,0,0
LGI HOMES INC,1129,63486,63486,0,0
LHC GROUP INC,1399,58156,58156,0,0
LIBBEY INC,848,40404,40404,0,0
LIBERTY GLOBAL PLC,464777,5388808,5293769,39273,55766
LIBERTY INTERACTIVE CORP,28969,236308,236216,0,92
LIBERTY INTERACTIVE CORPORAT,250068,8520222,8420740,0,99482
LIBERTY MEDIA CORP DELAWARE,225528,1541629,1530330,0,11299
LIBERTY PPTY TR,125381,3701807,3701376,431,0
LIFE TECHNOLOGIES CORP,133357,1759324,1757818,0,1506
LIFE TIME FITNESS INC,4044,86055,86055,0,0
LIFELOCK INC,32168,1960278,1951478,0,8800
LIFEPOINT HOSPITALS INC,3695,69928,69928,0,0
LIFEVANTAGE CORP,91,55121,55121,0,0
LIGAND PHARMACEUTICALS INC,8149,154920,154920,0,0
LILLY ELI & CO,351649,6895097,6762226,76260,56611
LIMELIGHT NETWORKS INC,60835,30724441,30724441,0,0
LIMONEIRA CO,501,18853,18853,0,0
LIN MEDIA LLC,16555,576619,576619,0,0
LINCOLN EDL SVCS CORP,80,16098,16098,0,0
LINCOLN ELEC HLDGS INC,13326,186800,185298,0,1502
LINCOLN NATL CORP IND,443220,8742272,8702875,0,39397
LINDSAY CORP,2838,34296,34296,0,0
LINEAR TECHNOLOGY CORP,143134,3142330,3074752,12529,55049
LINKEDIN CORP,138972,640920,595021,2613,43286
LINN ENERGY LLC,9842,319654,222240,0,97414
LINNCO LLC,24012,779354,779354,0,0
LIONBRIDGE TECHNOLOGIES INC,242,40687,40687,0,0
LIONS GATE ENTMNT CORP,2796,88324,88324,0,0
LIQUIDITY SERVICES INC,1884,83138,83138,0,0
LITHIA MTRS INC,10555,152039,152039,0,0
LITTELFUSE INC,38182,410864,388951,0,21913
LIVE NATION ENTERTAINMENT IN,8690,439799,403999,0,35800
LIVEPERSON INC,2110,142356,142356,0,0
LKQ CORP,18721,569022,569022,0,0
LLOYDS BANKING GROUP PLC,8476,1593288,1593288,0,0
LMI AEROSPACE INC,443,30050,30050,0,0
LOCKHEED MARTIN CORP,207985,1399063,1357523,0,41540
LOEWS CORP,45796,949352,949352,0,0
LOGITECH INTL S A,40401,2951127,2931151,0,19976
LOGMEIN INC,1570,46791,46791,0,0
LORAL SPACE & COMMUNICATNS I,2230,27543,27543,0,0
LORILLARD INC,88077,1737915,1558766,2429,176720
LOUISIANA PAC CORP,110044,5945122,5909814,0,35308
LOWES COS INC,287484,5801904,5103637,44685,653582
LPL FINL HLDGS INC,13114,278744,278744,0,0
LSB INDS INC,1896,46217,46217,0,0
LSI CORPORATION,24849,2251866,2249259,0,2607
LSI INDS INC,1268,146238,146238,0,0
LTC PPTYS INC,4241,119846,119783,63,0
LTX-CREDENCE CORP,504,63057,63057,0,0
LULULEMON ATHLETICA INC,19061,322904,300064,0,22840
LUMBER LIQUIDATORS HLDGS INC,11822,114897,114897,0,0
LUMINEX CORP DEL,4037,208117,208117,0,0
LUMOS NETWORKS CORP,5371,255760,255760,0,0
LUXOTTICA GROUP S P A,1075,19930,19930,0,0
LYDALL INC DEL,1677,95195,95195,0,0
LYON WILLIAM HOMES,30940,1397449,1340368,0,57081
LYONDELLBASELL INDUSTRIES N,270786,3373026,3075924,24984,272118
M & T BK CORP,359754,3090142,3073463,0,16679
M D C HLDGS INC,5826,180698,170567,0,10131
M/I HOMES INC,35265,1385633,1385633,0,0
MA COM TECHNOLOGY SOLUTIONS,220,12922,12922,0,0
MAC-GRAY CORP,684,32236,32236,0,0
MACERICH CO,87469,1485288,1484221,367,700
MACK CALI RLTY CORP,66614,3101177,3100914,263,0
MACQUARIE INFRASTR CO LLC,35928,660079,660079,0,0
MACYS INC,189627,3551064,3535157,0,15907
MADDEN STEVEN LTD,27071,739850,705193,0,34657
MADISON SQUARE GARDEN CO,1645,28571,28571,0,0
MAG SILVER CORP,98,18994,18994,0,0
MAGELLAN HEALTH SVCS INC,8655,144472,144472,0,0
